amplitude,wave_number,p_derivation,height,thickness,grouser_num,wheel_rad,wheel_width,slope,wheel_mass,test_num,time,energy,force_x,force_y,slip,runtime,efficiency,z_advance,steer_slip,success
0.0296797,3,-0.00346085,0.045828,0.0123363,21,0.434653,0.38132,10.4124,55.658,95,1.68,121.833,0.00958219,0.208657437520075,0.138668,964.477,0.450517,0.100527,0.0318402,1
0.024392,1,0.074278,0.0458076,0.0114909,22,0.387027,0.418041,13.7669,82.2164,96,1.51,184.611,0.367007,0.14551613104307,0.221886,915.32,0.437505,0.100142,0.0284069,1
0.0283886,3,-0.131374,0.0423851,0.0207331,28,0.36223,0.136716,8.69104,54.2872,97,3.33,238.796,0.333869,0.169093124213503,0.385121,1393.48,0.223351,0.100149,0.147207,1
0.0207902,4,0.0299428,0.0403084,0.0115637,14,0.16166,0.154984,14.8219,87.1168,98,12.5502,1200.72,0.113868,0.0988377458143157,0.81273,3465.06,0.0711928,0.100025,0.402254,1
0.0224521,4,0.182449,0.0701273,0.0230919,9,0.203474,0.249689,7.71164,124.88,99,5.34003,745.497,0.0763666,0.117455060629866,0.437355,1840.78,0.164356,0.100016,0.220523,1
0.0297504,1,0.148287,0.0125274,0.0153051,14,0.242334,0.455794,12.5998,119.418,100,7.24007,892.049,0.317458,0.0709324525682486,0.721649,2270.75,0.131408,0.100062,0.211622,1
0.0152579,1,0.0767026,0.00621172,0.0200524,14,0.354039,0.258253,12.3383,129.798,101,13.2102,2276.82,0.432302,0.0771324764824332,0.882051,4047.54,0.0559487,0.100042,0.294108,1
0.010932,1,0.0861274,0.0716706,0.0142245,25,0.477396,0.140962,11.3983,76.2721,102,1.36,198.65,0.30676,0.207536646576742,0.178228,965.639,0.376891,0.100062,0.0473151,1
0.0151899,2,-0.261386,0.0603005,0.0185231,24,0.382463,0.200916,6.00183,75.899,104,3.33,293.506,-0.258564,0.22760678560981,0.188037,1456.81,0.254037,0.10014,0.139752,1
0.0109636,3,-0.192925,0.00854286,0.0192161,30,0.164177,0.232405,6.47955,30.9371,105,11.4802,196.449,-0.202279,0.0787444977593565,0.441018,3103.47,0.154587,0.100063,0.228243,1
0.0214738,1,0.251405,0.0652447,0.0100717,8,0.436586,0.320345,7.1596,28.3755,106,1.96,72.8174,0.251052,0.164445318840206,0.0731718,1101.96,0.382283,0.100002,0.0297245,1
0.00551436,1,-0.0315962,0.012938,0.0243429,17,0.414182,0.27925,6.86039,59.2719,107,3.03,171.328,-0.062628,0.134798023419565,0.19082,1306.32,0.339629,0.100073,0.0847288,1
0.0124063,3,0.114124,0.0623026,0.0246658,15,0.43197,0.124116,9.21124,92.8806,108,2.01,348.927,0.374869,0.247175386088565,0.245828,1104.8,0.262127,0.100381,0.113829,1
0.0128798,3,0.119176,0.020214,0.0247926,20,0.344552,0.227869,10.3635,123.672,109,4.2,783.135,0.0900125,0.11342768570232,0.574258,1618.64,0.15492,0.100001,0.166056,1
0.0270408,1,0.104519,0.012083,0.0118938,24,0.207439,0.474575,8.37463,94.4449,110,6.62006,490.721,0.161449,0.0889858632727221,0.460624,2082.08,0.188857,0.100028,0.169978,1
0.029961,4,-0.250938,0.0741861,0.0185461,27,0.407075,0.11636,8.73052,39.0363,111,2.18,118.67,-0.20566,0.266593651692024,0.211972,1148.76,0.323967,0.100393,0.117442,1
0.0238197,4,-0.252474,0.0541767,0.0159543,25,0.256908,0.101446,6.50889,71.6544,112,7.19007,624.359,-0.604554,0.177029091775532,0.506701,2321.53,0.112652,0.10006,0.305176,1
