amplitude,wave_number,p_derivation,height,thickness,grouser_num,wheel_rad,wheel_width,slope,wheel_mass,test_num,time,energy,force_x,force_y,slip,runtime,efficiency,z_advance,steer_slip,success
0.0143194,3,0.151733,0.0381233,0.0232288,25,0.47147,0.394488,8.38358,93.115,113,1.82,238.092,0.937817,0.176428443930354,0.123099,1069.35,0.385618,0.100511,0.00722355,1
0.000465987,2,-0.181411,0.0525682,0.021717,26,0.298506,0.366498,11.7319,126.788,114,3.2,503.383,-0.0420633,0.121305820141962,0.452776,1335.75,0.247092,0.100002,0.161458,1
0.0291842,4,-0.12228,0.0393116,0.016545,29,0.283704,0.107443,5.12258,46.2103,115,6.78006,311.714,0.0770194,0.157068565340942,0.360305,2137.04,0.145532,0.100071,0.184682,1
0.0271536,2,0.126149,0.0332425,0.020778,9,0.159015,0.188264,12.5573,86.6582,117,11.6702,1034.89,0.379168,0.0877809820192949,0.773378,3183.67,0.0821828,0.100045,0.412681,1
0.0150543,2,-0.269209,0.0546883,0.013053,24,0.192068,0.398507,9.94387,24.3259,118,4.29,80.0811,0.0977382,0.135020928579167,0.315283,1462.38,0.298391,0.100133,0.150912,1
0.0142639,4,-0.295158,0.0574643,0.0124352,31,0.354598,0.398661,10.5637,66.911,119,2.31,195.816,0.051344,0.22087245962203,0.281879,1148.77,0.336055,0.100252,0.138094,1
0.0255446,3,-0.283726,0.0344633,0.0179999,16,0.434156,0.203639,12.5628,93.6895,121,2.22,353.896,-0.194237,0.200032859533589,0.444997,1155.54,0.260928,0.10047,0.179665,1
0.00973878,3,-0.0493547,0.0147435,0.0183462,31,0.275407,0.17191,10.6189,92.1263,122,8.5801,957.26,-0.301629,0.0962572983629796,0.727401,2629.58,0.0944541,0.100046,0.239761,1
0.00903427,4,0.047691,0.0229761,0.0130781,23,0.431256,0.274091,7.46264,50.1885,123,2.36,128.57,-0.0785595,0.168722529722477,0.120245,1185.85,0.383124,0.100048,0.038121,1
0.0203365,1,0.223454,0.0666691,0.0149981,21,0.390078,0.302323,6.49895,102.775,124,2.45,329.035,-0.125676,0.15075339254148,0.0991237,1248.09,0.307073,0.100214,0.0343367,1
0.0230662,3,-0.240989,0.0194386,0.0142483,14,0.462405,0.337236,9.45308,116.32,125,2.75,441.741,0.214474,0.148379737712549,0.425443,1321.51,0.258402,0.100032,0.189753,1
0.0103535,3,0.0788569,0.0714739,0.023491,16,0.36001,0.368556,7.7549,32.9821,126,2.31,94.3017,-0.0148201,0.188514202902157,0.102398,1170.9,0.343476,0.100108,0.0300454,1
0.0272827,4,-0.0694494,0.0248378,0.0183251,10,0.225505,0.285456,9.47585,87.7854,127,7.84008,647.253,-0.211505,0.0785813774893504,0.613005,2429.46,0.133101,0.100038,0.246112,1
0.0119863,4,-0.26483,0.0202568,0.024947,20,0.486838,0.21065,10.1955,49.7368,128,1.81,132.133,0.358771,0.268446742797819,0.230053,1074.95,0.369526,0.100071,0.114028,1
0.00068584,2,0.0801702,0.0491713,0.0164219,14,0.231853,0.338925,11.441,45.689,129,2.73,122.335,0.0425419,0.122604608487525,0.221301,1196.45,0.367151,0.100211,0.0418802,1
