X,Y,Z,Qw,Qx,Qy,Qz,clump_type
-15.8430717863105,0,0,-0,0,0,0,83
-15.7929883138564,0,0,-0,0,0,0,84
-15.7429048414023,0,0,-0,0,0,0,85
-15.6928213689482,0,0,-0,0,0,0,86
-15.6427378964942,0,0,-0,0,0,0,87
-15.5926544240401,0,0,-0,0,0,0,88
-15.542570951586,0,0,-0,0,0,0,89
-15.4924874791319,0,0,-0,0,0,0,90
-15.4424040066778,0,0,-0,0,0,0,91
-15.3923205342237,0,0,-0,0,0,0,92
-15.3422370617696,0,0,-0,0,0,0,93
-15.2921535893155,0,0,-0,0,0,0,94
-15.2420701168614,0,0,-0,0,0,0,95
-15.1919866444073,0,0,-0,0,0,0,96
-15.1419031719533,0,0,-0,0,0,0,97
-15.0918196994992,0,0,-0,0,0,0,98
-15.0417362270451,0,0,-0,0,0,0,99
-14.991652754591,0,0,-0,0,0,0,100
-14.9415692821369,0,0,-0,0,0,0,101
-14.8914858096828,0,0,-0,0,0,0,102
-14.8414023372287,0,0,-0,0,0,0,103
-14.7913188647746,0,0,-0,0,0,0,104
-14.7412353923205,0,0,-0,0,0,0,105
-14.6911519198664,0,0,-0,0,0,0,106
-14.6410684474124,0,0,-0,0,0,0,107
-14.5909849749583,0,0,-0,0,0,0,108
-14.5409015025042,0,0,-0,0,0,0,109
-14.4908180300501,0,0,-0,0,0,0,110
-14.440734557596,0,0,-0,0,0,0,111
-14.3906510851419,0,0,-0,0,0,0,112
-14.3405676126878,0,0,-0,0,0,0,113
-14.2904841402337,0,0,-0,0,0,0,114
-14.2404006677796,0,0,-0,0,0,0,115
-14.1903171953255,0,0,-0,0,0,0,116
-14.1402337228715,0,0,-0,0,0,0,117
-14.0901502504174,0,0,-0,0,0,0,118
-14.0400667779633,0,0,-0,0,0,0,119
-13.9899833055092,0,0,-0,0,0,0,120
-13.9398998330551,0,0,-0,0,0,0,121
-13.889816360601,0,0,-0,0,0,0,122
-13.8397328881469,0,0,-0,0,0,0,123
-13.7896494156928,0,0,-0,0,0,0,124
-13.7395659432387,0,0,-0,0,0,0,125
-13.6894824707846,0,0,-0,0,0,0,126
-13.6393989983306,0,0,-0,0,0,0,127
-13.5893155258765,0,0,-0,0,0,0,128
-13.5392320534224,0,0,-0,0,0,0,129
-13.4891485809683,0,0,-0,0,0,0,130
-13.4390651085142,0,0,-0,0,0,0,131
-13.3889816360601,0,0,-0,0,0,0,132
-13.338898163606,0,0,-0,0,0,0,133
-13.2888146911519,0,0,-0,0,0,0,134
-13.2387312186978,0,0,-0,0,0,0,135
-13.1886477462437,0,0,-0,0,0,0,136
-13.1385642737896,0,0,-0,0,0,0,137
-13.0884808013356,0,0,-0,0,0,0,138
-13.0383973288815,0,0,-0,0,0,0,139
-12.9883138564274,0,0,-0,0,0,0,140
-12.9382303839733,0,0,-0,0,0,0,141
-12.8881469115192,0,0,-0,0,0,0,142
-12.8380634390651,0,0,-0,0,0,0,143
-12.787979966611,0,0,-0,0,0,0,144
-12.7378964941569,0,0,-0,0,0,0,145
-12.6878130217028,0,0,-0,0,0,0,146
-12.6377295492487,0,0,-0,0,0,0,147
-12.5876460767947,0,0,-0,0,0,0,148
-12.5375626043406,0,0,-0,0,0,0,149
-12.4874791318865,0,0,-0,0,0,0,150
-12.4373956594324,0,0,-0,0,0,0,151
-12.3873121869783,0,0,-0,0,0,0,152
-12.3372287145242,0,0,-0,0,0,0,153
-12.2871452420701,0,0,-0,0,0,0,154
-12.237061769616,0,0,-0,0,0,0,155
-12.1869782971619,0,0,-0,0,0,0,156
-12.1368948247078,0,0,-0,0,0,0,157
-12.0868113522538,0,0,-0,0,0,0,158
-12.0367278797997,0,0,-0,0,0,0,159
-11.9866444073456,0,0,-0,0,0,0,160
-11.9365609348915,0,0,-0,0,0,0,161
-11.8864774624374,0,0,-0,0,0,0,162
-11.8363939899833,0,0,-0,0,0,0,163
-11.7863105175292,0,0,-0,0,0,0,164
-11.7362270450751,0,0,-0,0,0,0,165
-11.686143572621,0,0,-0,0,0,0,166
-11.6360601001669,0,0,-0,0,0,0,167
-11.5859766277129,0,0,-0,0,0,0,168
-11.5358931552588,0,0,-0,0,0,0,169
-11.4858096828047,0,0,-0,0,0,0,170
-11.4357262103506,0,0,-0,0,0,0,171
-11.3856427378965,0,0,-0,0,0,0,172
-11.3355592654424,0,0,-0,0,0,0,173
-11.2854757929883,0,0,-0,0,0,0,174
-11.2353923205342,0,0,-0,0,0,0,175
-11.1853088480801,0,0,-0,0,0,0,176
-11.135225375626,0,0,-0,0,0,0,177
-11.085141903172,0,0,-0,0,0,0,178
-11.0350584307179,0,0,-0,0,0,0,179
-10.9849749582638,0,0,-0,0,0,0,180
-10.9348914858097,0,0,-0,0,0,0,181
-10.8848080133556,0,0,-0,0,0,0,182
-10.8347245409015,0,0,-0,0,0,0,183
-10.7846410684474,0,0,-0,0,0,0,184
-10.7345575959933,0,0,-0,0,0,0,185
-10.6844741235392,0,0,-0,0,0,0,186
-10.6343906510851,0,0,-0,0,0,0,187
-10.5843071786311,0,0,-0,0,0,0,188
-10.534223706177,0,0,-0,0,0,0,189
-10.4841402337229,0,0,-0,0,0,0,190
-10.4340567612688,0,0,-0,0,0,0,191
-10.3839732888147,0,0,-0,0,0,0,192
-10.3338898163606,0,0,-0,0,0,0,193
-10.2838063439065,0,0,-0,0,0,0,194
-10.2337228714524,0,0,-0,0,0,0,195
-10.1836393989983,0,0,-0,0,0,0,196
-10.1335559265442,0,0,-0,0,0,0,197
-10.0834724540902,0,0,-0,0,0,0,198
-10.0333889816361,0,0,-0,0,0,0,199
-9.98330550918197,0,0,-0,0,0,0,200
-9.93322203672788,0,0,-0,0,0,0,201
-9.88313856427379,0,0,-0,0,0,0,202
-9.8330550918197,0,0,-0,0,0,0,203
-9.78297161936561,0,0,-0,0,0,0,204
-9.73288814691152,0,0,-0,0,0,0,205
