x,y,z
0.091904,-0.095,0.039434
0.087444,-0.095,0.048529
0.082084,-0.095,0.057125
0.075884,-0.095,0.065136
0.068904,-0.095,0.072478
0.061214,-0.095,0.079076
0.052904,-0.095,0.084863
0.044044,-0.095,0.089779
0.034734,-0.095,0.093774
0.025074,-0.095,0.096807
0.015154,-0.095,0.098846
0.0050744,-0.095,0.099871
-0.0050556,-0.095,0.099872
-0.015136,-0.095,0.098848
-0.025056,-0.095,0.096809
-0.034726,-0.095,0.093777
-0.044026,-0.095,0.089783
-0.052886,-0.095,0.084868
-0.061206,-0.095,0.079082
-0.068886,-0.095,0.072484
-0.075866,-0.095,0.065143
-0.082066,-0.095,0.057133
-0.087426,-0.095,0.048537
-0.091886,-0.095,0.039443
-0.095406,-0.095,0.029944
-0.097946,-0.095,0.020138
-0.099486,-0.095,0.010126
-0.099996,-0.095,8.8316e-06
-0.099486,-0.095,-0.010107
-0.097946,-0.095,-0.02012
-0.095416,-0.095,-0.029927
-0.091896,-0.095,-0.039426
-0.087436,-0.095,-0.048521
-0.082076,-0.095,-0.057118
-0.075876,-0.095,-0.065129
-0.068906,-0.095,-0.072471
-0.061216,-0.095,-0.07907
-0.052906,-0.095,-0.084858
-0.044046,-0.095,-0.089775
-0.034736,-0.095,-0.093771
-0.025076,-0.095,-0.096804
-0.015156,-0.095,-0.098845
-0.0050756,-0.095,-0.099871
0.0050544,-0.095,-0.099872
0.015134,-0.095,-0.098849
0.025054,-0.095,-0.096811
0.034724,-0.095,-0.09378
0.044034,-0.095,-0.089787
0.052884,-0.095,-0.084873
0.061204,-0.095,-0.079087
0.068884,-0.095,-0.07249
0.075874,-0.095,-0.06515
0.082074,-0.095,-0.057141
0.087434,-0.095,-0.048545
0.091894,-0.095,-0.039452
0.095414,-0.095,-0.029953
0.097954,-0.095,-0.020147
0.099494,-0.095,-0.010135
0.11,-0.095,-1.6841e-07
0.10954,-0.095,0.010003
0.10818,-0.095,0.019922
0.10592,-0.095,0.029677
0.10278,-0.095,0.039185
0.098794,-0.095,0.048369
0.093994,-0.095,0.057153
0.088404,-0.095,0.065462
0.082084,-0.095,0.07323
0.075084,-0.095,0.08039
0.067464,-0.095,0.086885
0.059284,-0.095,0.092659
0.050614,-0.095,0.097666
0.041524,-0.095,0.10186
0.032094,-0.095,0.10522
0.022384,-0.095,0.1077
0.012504,-0.095,0.10929
0.0025144,-0.095,0.10997
-0.0074956,-0.095,0.10974
-0.017446,-0.095,0.10861
-0.027246,-0.095,0.10657
-0.036826,-0.095,0.10365
-0.046096,-0.095,0.099872
-0.054986,-0.095,0.095266
-0.063426,-0.095,0.089871
-0.071336,-0.095,0.083731
-0.078656,-0.095,0.076897
-0.085316,-0.095,0.069426
-0.091276,-0.095,0.06138
-0.096486,-0.095,0.052825
-0.10089,-0.095,0.043832
-0.10446,-0.095,0.034477
-0.10716,-0.095,0.024835
-0.10897,-0.095,0.014988
-0.10989,-0.095,0.0050168
-0.10989,-0.095,-0.0049962
-0.10898,-0.095,-0.014968
-0.10716,-0.095,-0.024815
-0.10446,-0.095,-0.034457
-0.1009,-0.095,-0.043814
-0.096496,-0.095,-0.052807
-0.091286,-0.095,-0.061363
-0.085336,-0.095,-0.06941
-0.078666,-0.095,-0.076882
-0.071346,-0.095,-0.083717
-0.063446,-0.095,-0.089859
-0.055006,-0.095,-0.095256
-0.046116,-0.095,-0.099864
-0.036846,-0.095,-0.10364
-0.027266,-0.095,-0.10657
-0.017466,-0.095,-0.1086
-0.0075156,-0.095,-0.10974
0.0024944,-0.095,-0.10997
0.012484,-0.095,-0.10929
0.022364,-0.095,-0.1077
0.032074,-0.095,-0.10522
0.041504,-0.095,-0.10187
0.050594,-0.095,-0.097675
0.059264,-0.095,-0.09267
0.067454,-0.095,-0.086897
0.075074,-0.095,-0.080404
0.082074,-0.095,-0.073245
0.088394,-0.095,-0.065479
0.093984,-0.095,-0.05717
0.098794,-0.095,-0.048388
0.10278,-0.095,-0.039205
0.10592,-0.095,-0.029696
0.10818,-0.095,-0.019942
0.10954,-0.095,-0.010023
0.12,-0.095,-1.6841e-07
0.11958,-0.095,0.010041
0.11832,-0.095,0.020012
0.11623,-0.095,0.029842
0.11333,-0.095,0.039463
0.10963,-0.095,0.048807
0.10516,-0.095,0.057809
0.099954,-0.095,0.066405
0.094044,-0.095,0.074536
0.087484,-0.095,0.082144
0.080304,-0.095,0.089175
0.072554,-0.095,0.095582
0.064304,-0.095,0.10132
0.055604,-0.095,0.10634
0.046514,-0.095,0.11062
0.037094,-0.095,0.11412
0.027414,-0.095,0.11683
0.017534,-0.095,0.11871
0.0075444,-0.095,0.11976
-0.0025056,-0.095,0.11997
-0.012536,-0.095,0.11934
-0.022476,-0.095,0.11788
-0.032256,-0.095,0.11558
-0.041816,-0.095,0.11248
-0.051086,-0.095,0.10858
-0.059986,-0.095,0.10393
-0.068476,-0.095,0.098542
-0.076476,-0.095,0.092467
-0.083946,-0.095,0.085743
-0.090826,-0.095,0.078417
-0.097076,-0.095,0.070541
-0.10264,-0.095,0.062171
-0.10748,-0.095,0.053365
-0.11157,-0.095,0.044184
-0.11488,-0.095,0.034693
-0.11738,-0.095,0.02496
-0.11905,-0.095,0.015051
-0.11989,-0.095,0.0050358
-0.1199,-0.095,-0.0050142
-0.11906,-0.095,-0.015029
-0.11738,-0.095,-0.024938
-0.11488,-0.095,-0.034672
-0.11158,-0.095,-0.044163
-0.10749,-0.095,-0.053345
