X,Y,Z,r,absv
-0.10714,-0.424995,-0.483895,0.016,0.110258
-0.0580173,-0.437376,-0.484007,0.016,0.100569
-0.0654893,-0.425911,-0.483482,0.016,0.100569
-0.0531316,-0.424976,-0.483898,0.016,0.100569
-0.00403356,-0.43738,-0.484006,0.016,0.109437
-0.0114539,-0.425882,-0.483473,0.016,0.109437
0.000907869,-0.425002,-0.483889,0.016,0.109437
0.0499708,-0.437361,-0.484007,0.016,0.100065
0.0425427,-0.425867,-0.483486,0.016,0.100065
0.0549048,-0.42498,-0.483878,0.016,0.100065
0.103935,-0.43734,-0.484016,0.016,0.129515
0.0965914,-0.425793,-0.483485,0.016,0.129515
0.108957,-0.424995,-0.483944,0.016,0.129515
0.158002,-0.437372,-0.484005,0.016,0.108102
0.150607,-0.425859,-0.483459,0.016,0.108102
0.16297,-0.425005,-0.483884,0.016,0.108102
0.211946,-0.437369,-0.484006,0.016,0.109401
0.204524,-0.425871,-0.483479,0.016,0.109401
0.216885,-0.42499,-0.483892,0.016,0.109401
0.265924,-0.437362,-0.484002,0.016,0.121458
0.258598,-0.425804,-0.483461,0.016,0.121458
0.270965,-0.425024,-0.483903,0.016,0.121458
0.319985,-0.437368,-0.484003,0.016,0.107097
0.312598,-0.425849,-0.483461,0.016,0.107097
0.324962,-0.425005,-0.483884,0.016,0.107097
0.373967,-0.437381,-0.484004,0.016,0.109164
0.36651,-0.425906,-0.48347,0.016,0.109164
0.378868,-0.424987,-0.483909,0.016,0.109164
0.427964,-0.437376,-0.484005,0.016,0.109444
0.420554,-0.42587,-0.483473,0.016,0.109444
0.432916,-0.425002,-0.483885,0.016,0.109444
0.481978,-0.437357,-0.48401,0.016,0.099903
0.474536,-0.425872,-0.483486,0.016,0.099903
0.486896,-0.42497,-0.483886,0.016,0.099903
0.535934,-0.437365,-0.484003,0.016,0.122476
0.528591,-0.425817,-0.48346,0.016,0.122476
0.540957,-0.42502,-0.483919,0.016,0.122476
0.59002,-0.437374,-0.484007,0.016,0.107412
0.582601,-0.425875,-0.483465,0.016,0.107412
0.594963,-0.424997,-0.483881,0.016,0.107412
0.643949,-0.43737,-0.484005,0.016,0.10942
0.636517,-0.425879,-0.483477,0.016,0.10942
0.648878,-0.424987,-0.483894,0.016,0.10942
0.697934,-0.437372,-0.483998,0.016,0.118009
0.690591,-0.425824,-0.483461,0.016,0.118009
0.702958,-0.425028,-0.483905,0.016,0.118009
0.751979,-0.437375,-0.484004,0.016,0.110227
0.744583,-0.425862,-0.483462,0.016,0.110227
0.756946,-0.425008,-0.483882,0.016,0.110227
0.805976,-0.437361,-0.484007,0.016,0.0998557
