X,Y,Z,Qw,Qx,Qy,Qz,clump_type
-3.8,-3.8,-4.70285714285714,-0,-0,-0,0,203
-3.85,-3.85,-4.77714285714286,-0,-0,-0,0,204
-3.9,-3.9,-4.85142857142857,-0,-0,-0,0,205
-3.95,-3.95,-4.92571428571429,-0,-0,-0,0,206
0.55,-0.55,0.125714285714286,0,-0,0,0,207
0.6,-0.6,0.0514285714285714,0,-0,0,0,208
0.65,-0.65,-0.0228571428571429,0,-0,-0,0,209
0.7,-0.7,-0.0971428571428571,0,-0,-0,0,210
0.75,-0.75,-0.171428571428571,0,-0,-0,0,211
0.8,-0.8,-0.245714285714286,0,-0,-0,0,212
0.85,-0.85,-0.32,0,-0,-0,0,213
0.9,-0.9,-0.394285714285714,0,-0,-0,0,214
0.95,-0.95,-0.468571428571429,0,-0,-0,0,215
1,-1,-0.542857142857143,0,-0,-0,0,216
1.05,-1.05,-0.617142857142857,0,-0,-0,0,217
1.1,-1.1,-0.691428571428572,0,-0,-0,0,218
1.15,-1.15,-0.765714285714286,0,-0,-0,0,219
1.2,-1.2,-0.84,0,-0,-0,0,220
1.25,-1.25,-0.914285714285714,0,-0,-0,0,221
1.3,-1.3,-0.988571428571428,0,-0,-0,0,222
1.35,-1.35,-1.06285714285714,0,-0,-0,0,223
1.4,-1.4,-1.13714285714286,0,-0,-0,0,224
1.45,-1.45,-1.21142857142857,0,-0,-0,0,225
1.5,-1.5,-1.28571428571429,0,-0,-0,0,226
1.55,-1.55,-1.36,0,-0,-0,0,227
1.6,-1.6,-1.43428571428571,0,-0,-0,0,228
1.65,-1.65,-1.50857142857143,0,-0,-0,0,229
1.7,-1.7,-1.58285714285714,0,-0,-0,0,230
1.75,-1.75,-1.65714285714286,0,-0,-0,0,231
1.8,-1.8,-1.73142857142857,0,-0,-0,0,232
1.85,-1.85,-1.80571428571429,0,-0,-0,0,233
1.9,-1.9,-1.88,0,-0,-0,0,234
1.95,-1.95,-1.95428571428571,0,-0,-0,0,235
2,-2,-2.02857142857143,0,-0,-0,0,236
